157,2211,Kerasol 6% Cream,5,0,0,na,0,1,57.21,65,0,0,,fasle,1,a,Admin,,,,1,1,33,1
158,2212,Lutisone Ointment,13,0,0,na,0,1,44,50,0,0,,fasle,1,a,Admin,,,,1,1,33,1
159,2213,Niclobet Lotion,10,0,0,na,0,1,176.01,200,0,0,,fasle,1,a,Admin,,,,1,1,33,1
160,2214,Nyclobet Scalp,18,0,0,na,0,1,176.02,200,0,0,,fasle,1,a,Admin,,,,1,1,33,1
161,2215,Nyclobate Shampoo,16,0,0,na,0,1,308.02,350,0,0,,fasle,1,a,Admin,,,,1,1,33,1
162,2218,Reconil,24,0,0,na,0,1,10,12,0,0,,fasle,1,a,Admin,,,,1,1,33,1
163,2219,Tazoskin Cream,5,0,0,na,0,1,100,140,0,0,,fasle,1,a,Admin,,,,1,1,33,1
164,2221,Xenogrow 2% Solution ,19,0,0,na,0,1,440.03,500,0,0,,fasle,1,a,Admin,,,,1,1,33,1
165,2222,Xenogrow 5% Solution ,19,0,0,na,0,1,528.02,600,0,0,,fasle,1,a,Admin,,,,1,1,33,1
166,2223,Facid BT Cream,5,0,0,na,0,1,150,170,0,0,,fasle,1,a,Admin,,,,1,1,61,1
167,2224,Feocol ci,3,0,0,na,0,1,2.2,2.5,0,0,,fasle,1,a,Admin,,,,1,1,61,1
168,2225,Feocol TR,3,0,0,na,0,1,2.12,2.41,0,0,,fasle,1,a,Admin,,,,1,1,61,1
169,2227,Losectil 20,3,0,0,na,0,1,4.4,5,0,0,,fasle,1,a,Admin,,,,1,1,61,1
170,2230,Topiclo S 6%,24,0,0,na,0,1,70.4,80,0,0,,fasle,1,a,Admin,,,,1,1,61,1
171,2231,Lulizol Cream,5,0,0,na,0,1,80,100,0,0,,fasle,1,a,Admin,,,,1,1,61,1
172,2232,Lipicon 10,24,0,0,na,0,1,8.8,10,0,0,,fasle,1,a,Admin,,,,1,1,61,1
173,2233,Lipicon 20,24,0,0,na,0,1,15,18,0,0,,fasle,1,a,Admin,,,,1,1,61,1
174,2234,Tojak,224,0,0,na,0,1,40,48,0,0,,fasle,1,a,Admin,,,,1,1,61,1
175,2235,Biltin,24,0,0,na,0,1,10,15,0,0,,fasle,1,a,Admin,,,,1,1,61,1
176,2237,Flucloxin 500,3,0,0,na,0,1,8,10.5,0,0,,fasle,1,a,Admin,,,,1,1,61,1
177,2238,Alben DS,24,0,0,na,0,1,4.5,5,0,0,,fasle,1,a,Admin,,,,1,1,61,1
178,2239,SK-Cef 500,3,0,0,na,0,1,12,15,0,0,,fasle,1,a,Admin,,,,1,1,61,1
179,2240,Duimax 30,24,0,0,na,0,1,12,30,0,0,,fasle,1,a,Admin,,,,1,1,61,1
180,2241,Valenty 20,24,0,0,na,0,1,52.8,60,0,0,,fasle,1,a,Admin,,,,1,1,61,1
181,2242,Xinc 20,24,0,0,na,0,1,2.42,2.75,0,0,,fasle,1,a,Admin,,,,1,1,61,1
182,2243,Valenty 10,24,0,0,na,0,1,12,35,0,0,,fasle,1,a,Admin,,,,1,1,61,1
183,2244,Duimax 60,24,0,0,na,0,1,12,50,0,0,,fasle,1,a,Admin,,,,1,1,61,1
184,2245,Xinc Syrup,24,0,0,na,0,1,12,35,0,0,,fasle,1,a,Admin,,,,1,1,61,1
185,2246,Flucloxin syp,15,0,0,na,0,1,53.68,61,0,0,,fasle,1,a,Admin,,,,1,1,61,1
186,2247,Lumona 4,14,0,0,na,0,1,12,8,0,0,,fasle,1,a,Admin,,,,1,1,3,1
187,2248,Anycin 500,24,0,0,na,0,1,6.74,7.92,0,0,,fasle,1,a,Admin,,,,1,1,3,1
188,2249,Diprasal Lotion,10,0,0,na,0,1,112.44,132,0,0,,fasle,1,a,Admin,,,,1,1,3,1
189,2250,Rupa Tablet,24,0,0,na,0,1,14.99,17,0,0,,fasle,1,a,Admin,,,,1,1,3,1
190,2251,Amycin 120,10,0,0,na,0,1,89.96,105.61,0,0,,fasle,1,a,Admin,,,,1,1,3,1
191,225155023,Odaz 500,24,0,0,na,0,1,34.8,40,0,0,,fasle,1,a,Admin,,,,1,1,69,1
192,2252,Verrukill Gel,7,0,0,na,0,1,1850,2115,0,0,,fasle,1,a,Admin,,,,1,1,45,1
193,2253,Odaban Hand lotion,10,0,0,na,0,1,1599,1950,0,0,,fasle,1,a,Admin,,,,1,1,45,1
194,22530312,Emprila 30g,5,0,0,na,0,1,350,400,0,0,,fasle,1,a,Admin,,,,1,1,69,1
195,2255,Odaban Spray,10,0,0,na,0,1,1282.5,1530,0,0,,fasle,1,a,Admin,,,,1,1,45,1
196,225559071,Xerosoft emollent,13,0,0,na,0,1,158.4,180,0,0,,fasle,1,a,Admin,,,,1,1,69,1
197,2256,Rhafadil Spray,20,0,0,na,0,1,1681,1910,0,0,,fasle,1,a,Admin,,,,1,1,45,1
198,2257,Kustie SPF,21,0,0,na,0,1,328,390,0,0,,fasle,1,a,Admin,,,,1,1,41,1
199,2258,Derma Shampoo,21,0,0,na,0,1,600,695,0,0,,fasle,1,a,Admin,,,,1,1,59,1
200,2264,Kriptonite GA,17,0,0,na,0,1,892.5,1050,0,0,,fasle,1,a,Admin,,,,1,1,38,1
201,2265,Bio Dhea,3,0,0,na,0,1,1560,1800,0,0,,fasle,1,a,Admin,,,,1,1,9,1
202,2266,Un plus Shampoo,16,0,0,na,0,1,470,580,0,0,,fasle,1,a,Admin,,,,1,1,20,1
203,2267,Cap leed 1,3,0,0,na,0,1,37.26,48,0,0,,fasle,1,a,Admin,,,,1,1,20,1
204,2270,Clearin P,3,0,0,na,0,1,40.48,50,0,0,,fasle,1,a,Admin,,,,1,1,48,1
205,2271,Fixal 180,24,0,0,na,0,1,8.58,10,0,0,,fasle,1,a,Admin,,,,1,1,48,1
206,2273,Fexo 120,24,0,0,na,0,1,7.04,8,0,0,,fasle,1,a,Admin,,,,1,1,62,1
207,2283,Virux 200,5,0,0,na,0,1,372.27,423,0,0,,fasle,1,a,Admin,,,,1,1,62,1
208,2284,Virux 400,5,0,0,na,0,1,19.15,22.1,0,0,,fasle,1,a,Admin,,,,1,1,62,1
209,2285,Divon Oint,13,0,0,na,0,1,308.95,351.06,0,0,,fasle,1,a,Admin,,,,1,1,62,1
210,2287,Divon Plus Suspension,22,0,0,na,0,1,485.48,551.65,0,0,,fasle,1,a,Admin,,,,1,1,62,1
211,2291,Rex,24,0,0,na,0,1,2.65,3.01,0,0,,fasle,1,a,Admin,,,,1,1,62,1
212,2292,Zanthin 2,24,0,0,na,0,1,10.56,12,0,0,,fasle,1,a,Admin,,,,1,1,62,1
213,2296,Ezex Cream,5,0,0,na,0,1,66.45,75.51,0,0,,fasle,1,a,Admin,,,,1,1,62,1
214,2297,Ezex Oint,13,0,0,na,0,1,66.45,75.51,0,0,,fasle,1,a,Admin,,,,1,1,62,1
215,2299,Ciprocin 500,24,0,0,na,0,1,13.24,15.05,0,0,,fasle,1,a,Admin,,,,1,1,62,1
216,2300,Alatrol,24,0,0,na,0,1,2.65,3.01,0,0,,fasle,1,a,Admin,,,,1,1,62,1
